,train structures,test structures,train mae ,train mape,train r2,train pearson,train spearman,test mae ,test mape,test r2,test pearson,test spearman
0,binomial,ladder_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,21853.30586952178,0.37046550595841504,-1.4019568434292546,0.5770079881570335,0.5953934622953967
1,binomial,random_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,20050.699595750433,0.4963767787786411,-2.684856840305506,0.533675173564721,0.5477306196899151
2,binomial,cycle_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,4596.009325847485,0.22172436024500045,0.007396446375461996,0.558757737733393,0.5624188547016752
3,binomial,path_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,4162.174247568986,0.20541497205234385,0.12838088696238414,0.5618425782005698,0.5918099169586712
4,binomial,complete_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,720675.0394191823,0.9726976882984145,-4.621087489068021,0.5009109566095125,0.5174670954735275
5,binomial,ladder_random_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,21945.74588201987,0.44657417770594826,-1.068351703911663,0.7107522645483279,0.7271498103969662
6,binomial,ladder_cycle_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,14744.920144114763,0.30567956297626914,0.2302314216784337,0.8624748565159575,0.8831730427686842
7,binomial,ladder_path_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,12568.20764189837,0.2851246604242787,0.32833413554351365,0.8666526452896577,0.8876881870109921
8,binomial,ladder_complete_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,396801.59720441466,0.6999197379352178,-0.8876589813933506,-0.47288915529164643,-0.4989664474631593
9,binomial,random_cycle_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,12213.33324997221,0.3537862609065029,-0.43376804568067917,0.5694641564752555,0.5378608937743002
10,binomial,random_path_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,12030.188796340875,0.35046612024657237,-0.35660979697845807,0.5622078605928565,0.5658656938511016
11,binomial,random_complete_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,345238.4373657756,0.7482271652048921,-0.8476683809448795,0.06418644473682761,0.0882918446695147
12,binomial,cycle_path_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,4059.5499041032135,0.20337228320419176,0.14249149873456723,0.5757298704823255,0.5962966447463159
13,binomial,cycle_complete_,1196.288935904844,0.17592774195501767,0.5868054725372133,0.8185301579440817,0.8411407725630903,358738.6074569105,0.6036943758295965,-0.7105060911845864,0.45303519789355656,0.4574215907454519
